ID,fluxo_AH,Fluxo iOD907
aabgj,0.0,0.0
aabha,0.0,0.0
aabhb,0.0,0.0
aabhc,0.0,0.0
EX_00321_,0.0,0.0
aabhd,0.0,0.0
aabhe,0.0,0.0
EX_00326_,0.0,0.0
aabhf,0.0,0.0
aabhg,0.0,0.0
aabhh,0.0,0.0
aabhi,0.0,0.0
EX_00331_,0.0,0.0
aabhj,0.0,0.0
EX_00333_,0.0,0.0
aabia,0.0,0.0
EX_00336_,0.0,0.0
aabib,0.0,0.0
aabic,0.0,0.0
aabid,0.0,0.0
EX_00341_,0.0,0.0
aabie,0.0,0.0
EX_00343_,0.0,0.0
aabif,0.0,0.0
aabig,0.0,0.0
aabih,0.0,0.0
aabii,0.0,0.0
aabij,0.0,0.0
aabja,0.0,0.0
EX_00354_,0.0,0.0
aabjb,0.0,0.0
aabjc,0.0,0.0
aabjd,1.4211828509904576,0.9928972177160168
aabje,2.109580862155852,0.0
aabjf,0.0,0.0
EX_00359_,0.0,0.0
aabjg,0.0,0.0
EX_00362_,0.0,0.0
aabjh,0.0,0.0
aabji,0.0,0.0
EX_00366_,0.0,0.0
aabjj,0.0,0.0
aacaa,0.0,0.0
aacab,0.0,0.0
aacac,-0.505717849818963,0.0
aacad,0.0,0.0
aacae,0.034,0.08871458440952591
aacaf,-2.3800000000000003e-05,-6.210020908666814e-05
aacag,0.0,0.0
aacah,0.0,0.0
EX_00378_,0.0,0.0
aacai,2.3800000000000003e-05,6.210020908666814e-05
aacaj,0.0,0.0
aacba,0.0,0.0
aacbb,0.0,0.0
aacbc,0.0,0.0
aacbd,-1.8318391087997665,-2.948845029365313
EX_00386_,1.8318391087997665,2.948845029365313
aacbe,0.00012756800000000002,0.0003328571207045413
aacbf,1.802e-06,4.701872973704874e-06
aacbg,-2.3800000000000003e-05,-6.210020908666814e-05
aacbh,0.0004488,0.001171032514205742
aacbi,-2.3800000000000003e-05,-6.210020908666814e-05
aacbj,0.0,0.0
aacca,2.379999999998071e-05,6.210020908541378e-05
aaccb,0.0,0.0
EX_00396_,0.0,0.0
aaccc,0.0,0.0
aaccd,0.0,-5.421010862427522e-20
aacce,0.0,0.0
EX_00397_,0.0,0.0
aaccf,0.0,0.0
aaccg,0.0,0.0
EX_00399_,0.0,0.0
EX_00402_,0.0,0.0
aacch,0.0,3.8641751966846876
aacci,0.0,0.0
aaccj,0.505717849818963,0.0
aacda,0.0,0.0
aacdb,0.0,0.0
aacdc,0.0,0.0
EX_00407_,0.0,0.0
aacdd,0.0,0.0
aacde,0.0,0.0
aacdf,0.0,0.0
aacdg,0.0,0.0
aacdh,0.0,0.0
aacdi,0.00017588199999999998,0.00045892054515047774
aacdj,0.0,0.0
aacea,0.0,0.0
EX_00417_,0.0,0.0
aaceb,0.007424410000000001,0.019372160224586127
aacec,0.0,0.0
aaced,0.0,0.0
aacee,0.0,0.0
EX_00419_,0.0,0.0
aacef,0.0,0.0
EX_00420_,0.0,0.0
aaceg,7.48e-05,0.000195172085700957
aaceh,0.0,0.0
aacei,0.0,0.0
EX_00426_,0.0,0.0
aacej,0.0,0.0
aacfa,0.22495844187620684,0.028071216656503795
aacfb,0.0,0.0
aacfc,0.0,0.0
aacfd,0.0,0.0
aacfe,0.0,0.0
